,age,gender,alter_age,alter_gender,cntct_intensity,cntct_rate,pop,alter_age_strata,part,mu,y,y_strata,cntct_intensity_strata,pop_strata,cntct_rate_strata
0,6,Female,6,Female,0.03897057464925659,1.1370468335377649e-07,342735,6-9,16.0,1.0,1,2,0.1643491472859403,1758888,9.343923392844814e-08
1,6,Female,6,Male,0.041029425350743415,1.1370468335377649e-07,360842,6-9,16.0,1.0,0,2,0.17313628074823367,1852932,9.343909045136771e-08
2,6,Female,7,Female,0.035672809088415344,1.0375552356032105e-07,343816,6-9,16.0,1.0,1,2,0.1643491472859403,1758888,9.343923392844814e-08
3,6,Female,7,Male,0.03763295843951693,1.0375552356032105e-07,362708,6-9,16.0,1.0,1,2,0.17313628074823367,1852932,9.343909045136771e-08
4,6,Female,8,Female,0.03251328568159562,9.380636376686561e-08,346600,6-9,16.0,1.0,0,2,0.1643491472859403,1758888,9.343923392844814e-08
5,6,Female,8,Male,0.03427093551949538,9.380636376686561e-08,365337,6-9,16.0,1.0,0,2,0.17313628074823367,1852932,9.343909045136771e-08
6,6,Female,9,Female,0.029960837264435877,8.385720397341016e-08,357284,6-9,16.0,0.0,0,2,0.1643491472859403,1758888,9.343923392844814e-08
7,6,Female,9,Male,0.031471357079608915,8.385720397341016e-08,375297,6-9,16.0,1.0,1,2,0.17313628074823367,1852932,9.343909045136771e-08
8,6,Female,10,Female,0.027231640602236862,7.390804417995473e-08,368453,6-9,16.0,0.0,0,2,0.1643491472859403,1758888,9.343923392844814e-08
9,6,Female,10,Male,0.028731604358869043,7.390804417995473e-08,388748,6-9,16.0,0.0,0,2,0.17313628074823367,1852932,9.343909045136771e-08
10,6,Female,11,Female,0.12090819483866017,3.197944219324964e-07,378081,10-14,16.0,2.0,1,7,0.3865402365341676,1929961,2.0028396249155687e-07
11,6,Female,11,Male,0.12760500982834858,3.197944219324964e-07,399022,10-14,16.0,2.0,2,8,0.4069606809204963,2031680,2.0030747013333612e-07
12,6,Female,12,Female,0.10329791906216378,2.700486229652192e-07,382516,10-14,16.0,2.0,2,7,0.3865402365341676,1929961,2.0028396249155687e-07
13,6,Female,12,Male,0.10854307346601723,2.700486229652192e-07,401939,10-14,16.0,2.0,4,8,0.4069606809204963,2031680,2.0030747013333612e-07
14,6,Female,13,Female,0.08644198147466448,2.2030282399794196e-07,392378,10-14,16.0,1.0,1,7,0.3865402365341676,1929961,2.0028396249155687e-07
15,6,Female,13,Male,0.09086345915230316,2.2030282399794196e-07,412448,10-14,16.0,1.0,1,8,0.4069606809204963,2031680,2.0030747013333612e-07
16,6,Female,14,Female,0.0678023869455653,1.7055702503066473e-07,397535,10-14,16.0,1.0,3,7,0.3865402365341676,1929961,2.0028396249155687e-07
17,6,Female,14,Male,0.07143303433739306,1.7055702503066473e-07,418822,10-14,16.0,1.0,1,8,0.4069606809204963,2031680,2.0030747013333612e-07
18,6,Female,15,Female,0.008089754213113845,2.131962812883309e-08,379451,10-14,16.0,0.0,0,7,0.3865402365341676,1929961,2.0028396249155687e-07
19,6,Female,15,Male,0.00851610413643425,2.131962812883309e-08,399449,10-14,16.0,0.0,0,8,0.4069606809204963,2031680,2.0030747013333612e-07
20,6,Female,16,Female,0.007981109388169313,2.131962812883309e-08,374355,15-19,16.0,0.0,0,0,0.03717568368494138,2038194,1.8239521696630147e-08
21,6,Female,16,Male,0.00839624518709395,2.131962812883309e-08,393827,15-19,16.0,0.0,0,0,0.039014117857746916,2138063,1.8247412661716197e-08
22,6,Female,17,Female,0.008095510512708631,2.131962812883309e-08,379721,15-19,16.0,0.0,0,0,0.03717568368494138,2038194,1.8239521696630147e-08
23,6,Female,17,Male,0.008569360567500075,2.131962812883309e-08,401947,15-19,16.0,0.0,0,0,0.039014117857746916,2138063,1.8247412661716197e-08
